,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Broad_Type,nearest_station,Station_Lat,Station_Long,violence_score,top_crimes
0,7869621,HT100175,01/01/2011 01:30:00 AM,001XX N STATE ST,0560,ASSAULT,SIMPLE,CTA PLATFORM,False,False,122,1,42,32,08A,1176353.0,1900882.0,2011,02/04/2016 06:33:39 AM,41.883376682,-87.627874384,"(41.883376682, -87.627874384)",violent,Lawrence (Red Line),41.969139,-87.658493,0.3333333333333333,"['BATTERY', 'THEFT', 'CRIMINAL TRESPASS']"
1,7870280,HT101136,01/01/2011 05:16:00 PM,004XX S RACINE AVE,0460,BATTERY,SIMPLE,CTA PLATFORM,True,False,1213,12,2,28,08B,1168451.0,1897951.0,2011,02/04/2016 06:33:39 AM,41.875508384,-87.656975687,"(41.875508384, -87.656975687)",violent,Racine (Blue Line),41.87592,-87.659458,0.3888888888888889,"['BATTERY', 'ROBBERY', 'THEFT']"
2,7870309,HT101202,01/01/2011 06:00:00 PM,040XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,True,False,1114,11,28,26,11,1149512.0,1901446.0,2011,02/04/2016 06:33:39 AM,41.885487535,-87.726422045,"(41.885487535, -87.726422045)",non-violent,Damen (Brown Line),41.966286,-87.678639,0.0,"['THEFT', 'CRIMINAL TRESPASS', 'CRIMINAL DAMAGE']"
3,7870493,HT101240,01/01/2011 06:30:00 PM,015XX N CLYBOURN AVE,0320,ROBBERY,STRONGARM - NO WEAPON,CTA PLATFORM,True,False,1822,18,43,8,03,1170470.0,1910783.0,2011,02/04/2016 06:33:39 AM,41.910676312,-87.649187069,"(41.910676312, -87.649187069)",property,Main (Purple Line),42.033456,-87.679538,0.05263157894736842,"['NARCOTICS', 'DECEPTIVE PRACTICE', 'THEFT']"
4,7878190,HT101263,01/01/2011 06:57:00 PM,002XX S DEARBORN ST,2850,PUBLIC PEACE VIOLATION,BOMB THREAT,CTA PLATFORM,True,False,123,1,42,32,26,1175967.0,1899285.0,2011,02/04/2016 06:33:39 AM,41.87900312,-87.629339891,"(41.87900312, -87.629339891)",non-violent,Western (Blue Line - O'Hare Branch),41.916157,-87.687364,0.05128205128205128,"['NARCOTICS', 'DECEPTIVE PRACTICE', 'ROBBERY']"
5,7872672,HT101362,01/01/2011 09:24:00 PM,003XX N CENTRAL AVE,0320,ROBBERY,STRONGARM - NO WEAPON,CTA PLATFORM,True,False,1512,15,29,25,03,1138977.0,1901868.0,2011,02/04/2016 06:33:39 AM,41.886843497,-87.765098817,"(41.886843497, -87.765098817)",property,Racine (Blue Line),41.87592,-87.659458,0.3888888888888889,['DECEPTIVE PRACTICE']
6,7871107,HT101962,01/02/2011 01:08:00 PM,075XX N PAULINA AVE,2890,PUBLIC PEACE VIOLATION,OTHER VIOLATION,CTA PLATFORM,True,False,2422,24,49,1,26,1163690.0,1950023.0,2011,02/04/2016 06:33:39 AM,42.018498254,-87.672983233,"(42.018498254, -87.672983233)",non-violent,"Howard (Red, Purple & Yellow lines)",42.019063,-87.672892,0.3142857142857143,"['ROBBERY', 'BATTERY', 'THEFT']"
7,7872146,HT102954,01/02/2011 06:50:00 PM,015XX N CLYBOURN AVE,0810,THEFT,OVER $500,CTA PLATFORM,False,False,1822,18,27,8,06,1170965.0,1910314.0,2011,02/04/2016 06:33:39 AM,41.909378501,-87.647382412,"(41.909378501, -87.647382412)",property,Main (Purple Line),42.033456,-87.679538,0.05263157894736842,['ASSAULT']
8,7871633,HT102616,01/02/2011 11:45:00 PM,016XX N DAMEN AVE,0870,THEFT,POCKET-PICKING,CTA PLATFORM,False,False,1434,14,32,24,06,1162771.0,1910740.0,2011,02/04/2016 06:33:39 AM,41.910723346,-87.677471499,"(41.910723346, -87.677471499)",property,Division (Blue Line),41.903355,-87.666496,0.6666666666666666,"['NARCOTICS', 'DECEPTIVE PRACTICE', 'THEFT']"
9,7879594,HT102846,01/03/2011 08:37:00 AM,0000X W 69TH ST,0460,BATTERY,SIMPLE,CTA PLATFORM,False,False,731,7,6,69,08B,1177279.0,1859276.0,2011,02/04/2016 06:33:39 AM,41.769185486,-87.625732415,"(41.769185486, -87.625732415)",violent,Irving Park (Blue Line),41.952925,-87.729229,0.19402985074626866,['THEFT']
10,7872253,HT103057,01/03/2011 11:30:00 AM,040XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,True,False,1114,11,28,26,11,1149512.0,1901446.0,2011,02/04/2016 06:33:39 AM,41.885487535,-87.726422045,"(41.885487535, -87.726422045)",non-violent,Damen (Brown Line),41.966286,-87.678639,0.0,"['DECEPTIVE PRACTICE', 'BATTERY', 'THEFT']"
11,7911279,HT104125,01/03/2011 04:15:00 PM,002XX W 63RD ST,033A,ROBBERY,ATTEMPT: ARMED-HANDGUN,CTA PLATFORM,False,False,711,7,20,68,03,1175827.0,1863196.0,2011,02/04/2016 06:33:39 AM,41.779975054,-87.630937377,"(41.779975054, -87.630937377)",property,Noyes (Purple Line),42.058282,-87.683337,0.20588235294117646,"['DECEPTIVE PRACTICE', 'ROBBERY']"
12,7881163,HT104509,01/04/2011 08:40:00 AM,011XX W THORNDALE AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,CTA PLATFORM,False,False,2433,24,48,77,17,1167594.0,1939683.0,2011,02/04/2016 06:33:39 AM,41.990041584,-87.65891695,"(41.990041584, -87.65891695)",violent,Western (Orange Line),41.804546,-87.684019,0.5833333333333334,['ROBBERY']
13,7874724,HT105442,01/04/2011 06:30:00 PM,029XX E 83RD ST,0440,BATTERY,AGG: HANDS/FIST/FEET NO/MINOR INJURY,CTA PLATFORM,False,False,424,4,10,46,08B,1197469.0,1850510.0,2011,02/04/2016 06:33:39 AM,41.744651331,-87.552018554,"(41.744651331, -87.552018554)",violent,Cermak-McCormick Place (Green Line),41.853115,-87.626402,0.14285714285714285,"['BATTERY', 'ROBBERY', 'NARCOTICS']"
14,7883902,HT106074,01/05/2011 10:15:00 AM,0000X W CTA OHARE PLATFORM ST,1570,SEX OFFENSE,PUBLIC INDECENCY,CTA PLATFORM,True,False,1654,16,41,76,17,1100955.0,1934905.0,2011,02/04/2016 06:33:39 AM,41.978108446,-87.904122758,"(41.978108446, -87.904122758)",violent,Western (Orange Line),41.804546,-87.684019,0.5833333333333334,"['CRIMINAL TRESPASS', 'ROBBERY', 'BURGLARY']"
15,7885934,HT106310,01/05/2011 11:49:41 AM,046XX N BROADWAY,1680,GAMBLING,OTHER,CTA PLATFORM,True,False,2311,19,46,3,19,1167942.0,1930944.0,2011,02/04/2016 06:33:39 AM,41.966053999,-87.657890403,"(41.966053999, -87.657890403)",non-violent,Sheridan (Red Line),41.953775,-87.654929,0.04285714285714286,"['THEFT', 'ROBBERY', 'PUBLIC PEACE VIOLATION']"
16,7875793,HT106294,01/05/2011 12:25:00 PM,0000X N STATE ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CTA PLATFORM,True,False,122,1,42,32,26,1176361.0,1900610.0,2011,02/04/2016 06:33:39 AM,41.882630118,-87.627853218,"(41.882630118, -87.627853218)",non-violent,Conservatory (Green Line),41.884904,-87.716523,0.2,['THEFT']
